                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.26222,                0.25052,                0.96782,                0.94724,                0.99363,                0.98872,                0.94396,                0.31922,                0.28864,                0.88458,             0.00043567,             0.00043567,             0.00043567
                     66,                0.26365,                 0.2534,                0.97312,                0.96018,                0.99844,                   0.99,                0.93881,                0.32582,                0.32565,                0.89716,             0.00043126,             0.00043126,             0.00043126
                     67,                0.26309,                0.24818,                0.96848,                0.94519,                0.99176,                0.98893,                0.94241,                0.30553,                0.31282,                0.86672,             0.00042684,             0.00042684,             0.00042684
                     68,                0.25469,                0.25298,                0.96814,                0.95884,                0.99063,                0.98522,                0.94678,                0.29792,                0.28716,                0.86025,             0.00042242,             0.00042242,             0.00042242
                     69,                0.25605,                0.24696,                0.96931,                0.96063,                0.99672,                0.98127,                0.93815,                0.32403,                0.32895,                0.88825,               0.000418,               0.000418,               0.000418
                     70,                 0.2597,                0.25171,                0.96995,                0.95687,                0.99378,                0.98676,                0.95647,                0.29933,                0.28251,                0.85397,             0.00041358,             0.00041358,             0.00041358
                     71,                0.25249,                0.24897,                0.95922,                0.94281,                0.99745,                0.98558,                0.94255,                0.30826,                0.31217,                0.86779,             0.00040917,             0.00040917,             0.00040917
                     72,                0.25845,                 0.2413,                0.96649,                0.92619,                0.99684,                0.98238,                0.95217,                0.30359,                0.31916,                 0.8629,             0.00040475,             0.00040475,             0.00040475
                     73,                0.25161,                0.24163,                0.96419,                0.94682,                0.99701,                0.98526,                0.94019,                0.31785,                0.30202,                0.89116,             0.00040033,             0.00040033,             0.00040033
                     74,                 0.2524,                0.23672,                0.96263,                0.94868,                0.98767,                0.98815,                0.95321,                0.30272,                0.30114,                0.86412,             0.00039591,             0.00039591,             0.00039591
                     75,                0.25256,                0.24329,                0.96569,                0.94314,                0.99408,                 0.9881,                  0.959,                0.30983,                0.30951,                0.86923,              0.0003915,              0.0003915,              0.0003915
                     76,                0.25517,                0.23684,                0.96748,                0.96018,                      1,                0.98989,                0.95792,                0.29547,                0.28898,                0.86466,             0.00038708,             0.00038708,             0.00038708
                     77,                0.24857,                0.23772,                0.96274,                0.95798,                      1,                0.98954,                0.94931,                0.30659,                0.27161,                0.87079,             0.00038266,             0.00038266,             0.00038266
                     78,                0.24808,                0.22417,                 0.9597,                0.95527,                0.99488,                0.99032,                0.95472,                0.29335,                 0.2952,                0.85435,             0.00037824,             0.00037824,             0.00037824
                     79,                0.25311,                0.23719,                0.96778,                0.96326,                 0.9987,                0.99271,                0.95971,                0.29868,                0.26404,                 0.8659,             0.00037382,             0.00037382,             0.00037382
                     80,                0.24416,                0.23307,                0.96239,                0.94927,                0.99524,                0.98672,                 0.9539,                0.29986,                0.30131,                0.86272,             0.00036941,             0.00036941,             0.00036941
                     81,                 0.2455,                0.23948,                0.96219,                0.95924,                0.99545,                0.98191,                0.94455,                0.30593,                0.30404,                0.87819,             0.00036499,             0.00036499,             0.00036499
                     82,                0.24518,                0.23331,                0.96245,                0.96324,                0.99979,                0.98705,                0.95339,                0.29196,                0.29671,                0.85207,             0.00036057,             0.00036057,             0.00036057
                     83,                0.24302,                0.23508,                0.95842,                0.95769,                0.99734,                0.98679,                0.95147,                0.29939,                0.28798,                0.86149,             0.00035615,             0.00035615,             0.00035615
                     84,                0.24814,                0.22878,                0.96274,                0.95736,                0.99605,                0.98977,                0.95096,                0.29673,                0.27354,                0.85715,             0.00035173,             0.00035173,             0.00035173
                     85,                0.23891,                0.22341,                0.95336,                0.95794,                0.99925,                0.98961,                 0.9504,                0.29152,                0.27722,                0.85634,             0.00034732,             0.00034732,             0.00034732
                     86,                  0.244,                0.22906,                0.96089,                0.96107,                      1,                0.99099,                0.95747,                0.29297,                0.26926,                0.85521,              0.0003429,              0.0003429,              0.0003429
                     87,                0.23114,                0.22185,                0.95356,                0.96322,                0.98748,                0.99399,                0.95821,                0.30729,                0.27168,                0.87264,             0.00033848,             0.00033848,             0.00033848
                     88,                 0.2373,                0.21987,                0.95576,                0.96076,                0.99631,                0.99098,                 0.9565,                0.29762,                0.26717,                0.85918,             0.00033406,             0.00033406,             0.00033406
                     89,                0.22862,                0.22075,                 0.9512,                0.93883,                0.99798,                0.99074,                0.95043,                0.30642,                0.27662,                0.86952,             0.00032964,             0.00032964,             0.00032964
                     90,                0.23004,                0.22017,                0.95433,                0.95784,                0.98807,                0.99257,                0.96205,                0.27891,                0.27665,                0.84418,             0.00032523,             0.00032523,             0.00032523
                     91,                0.23496,                0.22512,                0.95872,                0.96118,                 0.9972,                0.98715,                0.96063,                0.29634,                0.28249,                0.85343,             0.00032081,             0.00032081,             0.00032081
                     92,                0.22726,                0.21965,                0.95105,                0.94938,                0.99583,                 0.9913,                0.95222,                0.29066,                 0.2762,                0.85264,             0.00031639,             0.00031639,             0.00031639
                     93,                 0.2342,                0.22024,                0.95074,                0.95817,                0.99998,                0.99205,                0.95537,                 0.3019,                0.29575,                0.86632,             0.00031197,             0.00031197,             0.00031197
                     94,                0.23591,                 0.2188,                0.95575,                0.95861,                0.98846,                0.99226,                0.95874,                0.30583,                0.29285,                 0.8654,             0.00030756,             0.00030756,             0.00030756
                     95,                0.23054,                0.21461,                0.95389,                0.95242,                0.98919,                0.99162,                0.95823,                0.29384,                0.27724,                0.85286,             0.00030314,             0.00030314,             0.00030314
